R_rpes,k_sim,Recall
5,3,0.21807786971203438
5,4,0.2516515739610486
5,5,0.27476818970901484
5,6,0.28426448359794243
5,7,0.27236076128700526
5,8,0.25140997486848804
5,9,0.22042689180965105
5,10,0.1692892903449769
6,3,0.24683570352288137
6,4,0.2895625729255276
6,5,0.3105541367984252
6,6,0.31850966478857523
6,7,0.3127549222872861
6,8,0.2824897528953856
6,9,0.24372220377536774
6,10,0.19092040794385737
7,3,0.27617420117426705
7,4,0.3250181613576087
7,5,0.34781283549492065
7,6,0.35491570667519307
7,7,0.3561444271789147
7,8,0.32326848478642367
7,9,0.2791884036910794
7,10,0.21292254391777898
8,3,0.308312413553972
8,4,0.36039932132295555
8,5,0.38551112504805307
8,6,0.4015027920733827
8,7,0.3876575091093167
8,8,0.35894990250074427
8,9,0.30813470950208893
8,10,0.2444454676428215
9,3,0.3409539744636437
9,4,0.3918114647213347
9,5,0.4325287176729227
9,6,0.43462828794012753
9,7,0.42989602482257044
9,8,0.38823970630943616
9,9,0.33647088557325644
9,10,0.26451971366269456
10,3,0.37474709567758296
10,4,0.43274031097474075
10,5,0.467458766038423
10,6,0.4785547022611714
10,7,0.4610805170850804
10,8,0.4288902730197349
10,9,0.37028642377202964
10,10,0.29104451201151055
11,3,0.40438478170696096
11,4,0.45974897207290244
11,5,0.5086431057248316
11,6,0.5179975721418352
11,7,0.5035680054584488
11,8,0.47086264503177533
11,9,0.40715492807565873
11,10,0.31490559397164264
12,3,0.4303577959492138
12,4,0.5024415696257098
12,5,0.5478086983354634
12,6,0.5654630527118852
12,7,0.5433837086613647
12,8,0.5030642787576144
12,9,0.4291985062128139
12,10,0.33198074574308895
13,3,0.4375263620691909
13,4,0.510835449743997
13,5,0.5456068247361713
13,6,0.5656197842281954
13,7,0.54797453269676
13,8,0.5007485964367901
13,9,0.4355684569279065
13,10,0.34116780286332565
14,3,0.43384451499026283
14,4,0.5118858040253026
14,5,0.5316961917316699
14,6,0.5646026540245012
14,7,0.5464752769925804
14,8,0.5024930029536521
14,9,0.4343982417701641
14,10,0.32932176844694105
15,3,0.43304662400678523
15,4,0.5057998473604192
15,5,0.5540693014842887
15,6,0.5570976867776676
15,7,0.5415856249282032
15,8,0.5014711445003339
15,9,0.437972845190827
15,10,0.3371046037284566
16,3,0.4317008407156511
16,4,0.5065868678628913
16,5,0.5465300434194402
16,6,0.5654244119469841
16,7,0.5421667901074296
16,8,0.5023485827811472
16,9,0.4322982506154065
16,10,0.3310825897742761
17,3,0.4352851620024603
17,4,0.5053157185717867
17,5,0.5460279194732678
17,6,0.5586863120530992
17,7,0.5382720757484046
17,8,0.5018799475732626
17,9,0.43251261899827387
17,10,0.3333043483754154
18,3,0.4333000200113696
18,4,0.5060364163183453
18,5,0.5562985750206094
18,6,0.5609776357518582
18,7,0.5474062251333462
18,8,0.5036247925845385
18,9,0.4256725329256022
18,10,0.33591091337849066
19,3,0.43426139911114414
19,4,0.5164147402469258
19,5,0.544949709132295
19,6,0.5616886651170682
19,7,0.5458104737374093
19,8,0.4981098626903976
19,9,0.4389598510149952
19,10,0.33852649498982756
20,3,0.43743307865016684
20,4,0.4994166872278345
20,5,0.5536592569377111
20,6,0.5521496340483631
20,7,0.5492042397321494
20,8,0.5150398963540823
20,9,0.4297010723489329
20,10,0.3340972396285347
21,3,0.43443248692448044
21,4,0.5014624827032543
21,5,0.5375333776663789
21,6,0.5603839526589136
21,7,0.5401998217230554
21,8,0.5063869058504014
21,9,0.4300096988234254
21,10,0.34120777960085896
22,3,0.4306006807112608
22,4,0.5023768099583235
22,5,0.5504418040068383
22,6,0.5531071598279698
22,7,0.5472419312429385
22,8,0.5105879994815835
22,9,0.42702352276200434
22,10,0.3366203697646686
23,3,0.4351278913270382
23,4,0.5079403872737576
23,5,0.5392462491186056
23,6,0.552605442966728
23,7,0.5488498009482682
23,8,0.5054968027530953
23,9,0.4350871389705012
23,10,0.3371640659839099
24,3,0.4310486927083494
24,4,0.5051705586336914
24,5,0.5476001757042107
24,6,0.5559996320590522
24,7,0.5561871288308503
24,8,0.5063881179213954
24,9,0.4288297428221406
24,10,0.3382060201250097
25,3,0.4297698815512135
25,4,0.507966906402862
25,5,0.5523259318613803
25,6,0.5554041790172304
25,7,0.551260033665674
25,8,0.50608041587176
25,9,0.43756774109437613
25,10,0.3423732244217173
