R_rpes,k_sim,d_proj,Recall
17,5,16,0.9703949561836687
20,4,16,0.9920688263729232
5,3,32,0.6371137995998546
8,7,8,0.8225148441502154
8,3,32,0.6798359337220024
12,6,16,0.8879387869995884
14,7,16,0.8572432946543944
24,7,16,0.9329027203415312
23,4,16,1.017388726774545
9,3,32,0.7232772772464883
11,5,8,0.9531913687630157
17,7,16,0.8911758118145008
6,7,32,0.6846192739784789
11,5,16,0.9049600094634397
12,7,16,0.8410473928201019
19,6,16,0.9969610549544944
22,5,32,0.9309123675404093
10,6,8,0.9024234904568876
18,3,32,0.8419592934466178
13,8,32,0.6401104757369173
14,8,32,0.695133280825732
25,8,32,0.7655313206420757
24,3,32,0.8595429603933976
21,3,8,0.9822050765575717
24,8,16,0.8297006471669102
10,6,16,0.8631672330207757
20,7,32,0.8710028433822037
20,7,32,0.8729802197232622
5,8,32,0.5869622405256357
23,5,16,1.0192607533371956
8,5,16,0.85341447033195
22,7,16,0.9348576603406001
24,4,32,0.9098195812471261
24,6,32,0.9192214524405913
24,6,16,1.0038273243001226
19,6,32,0.9063242438613471
12,4,8,0.9442968017899913
5,5,16,0.8176578419865546
6,8,16,0.6498588268083477
14,5,32,0.8541873152313967
5,6,8,0.823673654737655
15,8,16,0.7576556560902488
25,5,8,1.0482084206936229
8,6,8,0.8930142807166476
16,7,32,0.815619269395566
23,7,16,0.95374964066393
7,5,8,0.8733445501207214
5,8,16,0.6203137531021398
5,4,32,0.7133994367986591
9,5,16,0.8750915228662937
10,8,32,0.6316535694157649
11,3,16,0.8304797215596806
13,6,16,0.9095094633747389
25,3,32,0.8774266878065563
22,5,8,1.0577739431905167
20,7,8,0.970869207819582
9,6,16,0.8365211511783891
14,5,16,0.9311102864190456
15,4,16,0.9357545129431845
6,5,8,0.864446130759797
6,4,32,0.7427007579686858
12,7,32,0.7674566103937077
14,8,32,0.6563041309477339
8,4,8,0.8886405230049765
11,3,32,0.7176039594133826
16,8,8,0.8306816572175695
19,3,16,0.9389153723086032
23,3,32,0.8606485610634358
5,3,32,0.6472031082679576
19,3,8,0.9608123546238888
