R_rpes,k_sim,d_proj,Recall
5,3,8,0.37309351636319904
5,3,16,0.29019653936250406
5,3,32,0.2771042945698663
5,4,8,0.492579630078187
5,4,16,0.37601650976902373
5,4,32,0.3393461723314543
5,5,8,0.5473763844652217
5,5,16,0.45917541849936483
5,5,32,0.38539731507593494
5,6,8,0.46316553569352514
5,6,16,0.36913858022634993
5,6,32,0.33239838843282205
5,7,8,0.36545095991984305
5,7,16,0.23694606105790567
5,7,32,0.20592610345145457
6,3,8,0.34914206355170585
6,3,16,0.27177813244368
6,3,32,0.27491965606077684
6,4,8,0.42963228554253735
6,4,16,0.3506562733928925
6,4,32,0.4003240175298038
6,5,8,0.50419669248119
6,5,16,0.44914820426120133
6,5,32,0.3677090825633658
6,6,8,0.4405415260724182
6,6,16,0.39635306212424726
6,6,32,0.3218247471394881
6,7,8,0.3772816299793052
6,7,16,0.28414390535614853
6,7,32,0.25674142358912033
7,3,8,0.3593430714488911
7,3,16,0.36911499197581876
7,3,32,0.27647089972761857
7,4,8,0.43869093609248905
7,4,16,0.4312509879490394
7,4,32,0.3332785011160189
7,5,8,0.5317708535724797
7,5,16,0.4028672186307214
7,5,32,0.38514091090936764
7,6,8,0.47632810103723977
7,6,16,0.428728637985806
7,6,32,0.3750448590508487
7,7,8,0.3739248213441258
7,7,16,0.304513535572872
7,7,32,0.23252015675873375
8,3,8,0.3695032937768797
8,3,16,0.3134318335247049
8,3,32,0.3222938334692719
8,4,8,0.4966008386273222
8,4,16,0.3695534619041639
8,4,32,0.3954963556760957
8,5,8,0.5308082113625084
8,5,16,0.4582053963905967
8,5,32,0.46019251509420744
8,6,8,0.5172222756151469
8,6,16,0.4503830701385319
8,6,32,0.3605973108975727
8,7,8,0.3818222487531845
8,7,16,0.3371888995956054
8,7,32,0.3198465204963752
9,3,8,0.3923045145782727
9,3,16,0.33726234903849456
9,3,32,0.27297123914743415
9,4,8,0.4681528886689133
9,4,16,0.4645672386879369
9,4,32,0.4442078349024416
9,5,8,0.5589328816522114
9,5,16,0.5273515488611599
9,5,32,0.4714238127050341
9,6,8,0.4846854947531797
9,6,16,0.4510333321813634
9,6,32,0.44966173103929596
9,7,8,0.40560496054033285
9,7,16,0.38977142801282927
9,7,32,0.22756893524492264
10,3,8,0.4485381034713558
10,3,16,0.36264481701202195
10,3,32,0.31439235448010666
10,4,8,0.5261588730800204
10,4,16,0.3999313589707063
10,4,32,0.4162974398028136
10,5,8,0.5921592329111545
10,5,16,0.5619350537328253
10,5,32,0.4653792958715762
10,6,8,0.4991512416971597
10,6,16,0.44450571510119696
10,6,32,0.45034965996900117
10,7,8,0.43374356162988964
10,7,16,0.34414059885186565
10,7,32,0.33876059798748337
11,3,8,0.4454416684183928
11,3,16,0.4077410682787159
11,3,32,0.3209492957756145
11,4,8,0.5343901747500291
11,4,16,0.4686091711787752
11,4,32,0.39979613735798225
11,5,8,0.6121291615153048
11,5,16,0.5472295879935419
11,5,32,0.502880503556625
11,6,8,0.5371824251467079
11,6,16,0.4379112935112275
11,6,32,0.431082226118985
11,7,8,0.4322479064421485
11,7,16,0.3546134004860807
11,7,32,0.3371723172419548
12,3,8,0.4746191032234373
12,3,16,0.45523553118009474
12,3,32,0.3672164585579399
12,4,8,0.5740804622168492
12,4,16,0.5002729496469589
12,4,32,0.4082723606901786
12,5,8,0.6255697563606537
12,5,16,0.5643244555471386
12,5,32,0.5997439826526724
12,6,8,0.5605831215517325
12,6,16,0.5115527473899523
12,6,32,0.4647941440579925
12,7,8,0.4274372363904152
12,7,16,0.4329346385792295
12,7,32,0.38453711515358796
13,3,8,0.5074182119118122
13,3,16,0.39255800648145633
13,3,32,0.42525262948258735
13,4,8,0.5476537703590719
13,4,16,0.5434673916816262
13,4,32,0.5549045176711233
13,5,8,0.6209901426914421
13,5,16,0.5698696771820574
13,5,32,0.5531773200519756
13,6,8,0.5746050326193544
13,6,16,0.47934177593563404
13,6,32,0.4912477381410047
13,7,8,0.45181814208873766
13,7,16,0.43404740304435396
13,7,32,0.3555860731274903
14,3,8,0.5525171697521936
14,3,16,0.41867391545635796
14,3,32,0.39583883876948067
14,4,8,0.6386123786312314
14,4,16,0.5134333092419003
14,4,32,0.5205122068022487
14,5,8,0.7154037830146952
14,5,16,0.5641173799741632
14,5,32,0.5812100627961752
14,6,8,0.622003345937594
14,6,16,0.5738139248882383
14,6,32,0.47657988743778246
14,7,8,0.4664054392091391
14,7,16,0.457829761194952
14,7,32,0.4144102244526465
15,3,8,0.5369424690407293
15,3,16,0.47597350644003994
15,3,32,0.4085084885369818
15,4,8,0.6467486947198114
15,4,16,0.5847256346287194
15,4,32,0.5178320879181738
15,5,8,0.7587226654889637
15,5,16,0.6531167944067523
15,5,32,0.5664918718925251
15,6,8,0.6594776920639962
15,6,16,0.5466930103229394
15,6,32,0.5628751685712384
15,7,8,0.5641855509005751
15,7,16,0.44095959060457934
15,7,32,0.4578105140616662
16,3,8,0.5662409177500211
16,3,16,0.5146716713665384
16,3,32,0.510242826075528
16,4,8,0.6590149225026226
16,4,16,0.5799168576767618
16,4,32,0.5391726797479267
